"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Intensivmedizin","Intensivmedizin","","","",0,*,"","","","null {[]} {[]}
","MII Logical Model Intensivmedizin","Logische Repräsentation des Erweiterungsmodul Intensivmedizin","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Beatmungswerte.modifierExtension","Intensivmedizin.Beatmungswerte.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Beatmungswerte.Atemweg","Intensivmedizin.Beatmungswerte.Atemweg","","","",0,*,"","","","BackboneElement {[]} {[]}
","Physischer Weg, über den die Beatmung erfolgt.","Physischer Weg, über den die Beatmung erfolgt.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Atemweg",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Beatmungswerte.Atemweg.id","Intensivmedizin.Beatmungswerte.Atemweg.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.Beatmungswerte.Atemweg.extension","Intensivmedizin.Beatmungswerte.Atemweg.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Beatmungswerte.Atemweg.modifierExtension","Intensivmedizin.Beatmungswerte.Atemweg.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Beatmungswerte.Atemweg.AtemwegName","Intensivmedizin.Beatmungswerte.Atemweg.AtemwegName","","","",0,*,"","","","string {[]} {[]}
","Bezeichnung des Atemweges z.B. ""Endotracheal tube""","Bezeichnung des Atemweges z.B. ""Endotracheal tube""","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Atemweg.AtemwegName",0,*,"",""
"Intensivmedizin.Beatmungswerte.Atemweg.AtemwegCode","Intensivmedizin.Beatmungswerte.Atemweg.AtemwegCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Atemweg.AtemwegCode",0,*,"",""
"Intensivmedizin.Beatmungswerte.Atemweg.KlinischRelevanteZeit","Intensivmedizin.Beatmungswerte.Atemweg.KlinischRelevanteZeit","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Atemweg.KlinischRelevanteZeit",0,*,"",""
"Intensivmedizin.Beatmungswerte.Beatmungsart","Intensivmedizin.Beatmungswerte.Beatmungsart","","","",0,*,"","","","BackboneElement {[]} {[]}
","Art bzw. Bezeichnung der Beatmung","Art bzw. Bezeichnung der Beatmung","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Beatmungsart",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Beatmungswerte.Beatmungsart.id","Intensivmedizin.Beatmungswerte.Beatmungsart.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.Beatmungswerte.Beatmungsart.extension","Intensivmedizin.Beatmungswerte.Beatmungsart.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Beatmungswerte.Beatmungsart.modifierExtension","Intensivmedizin.Beatmungswerte.Beatmungsart.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartName","Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartName","","","",0,*,"","","","string {[]} {[]}
","Name bzw. Bezeichnung der Beatmungsmethode","Name bzw. Bezeichnung der Beatmungsmethode","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartName",0,*,"",""
"Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartCode","Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Beatmungsart.BeatmungsartCode",0,*,"",""
"Intensivmedizin.Beatmungswerte.Beatmungsart.KlinischRelevanteZeit","Intensivmedizin.Beatmungswerte.Beatmungsart.KlinischRelevanteZeit","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Beatmungswerte.Beatmungsart.KlinischRelevanteZeit",0,*,"",""
"Intensivmedizin.Messmethode","Intensivmedizin.Messmethode","","","",0,*,"","","","BackboneElement {[]} {[]}
","Methode der Messung","Methode der Messung","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Messmethode.id","Intensivmedizin.Messmethode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.Messmethode.extension","Intensivmedizin.Messmethode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Messmethode.modifierExtension","Intensivmedizin.Messmethode.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Messmethode.Methode","Intensivmedizin.Messmethode.Methode","","","",0,*,"","","","string {[]} {[]}
","Methode der Messung","Methode der Messung","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode.Methode",0,*,"",""
"Intensivmedizin.Messmethode.Geraet","Intensivmedizin.Messmethode.Geraet","","","",0,*,"","","","BackboneElement {[]} {[]}
","Einstellungen und Bezeichnung des Geräts mit dem die Messung durchgeführt wird.","Einstellungen und Bezeichnung des Geräts mit dem die Messung durchgeführt wird.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode.Geraet",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.Messmethode.Geraet.id","Intensivmedizin.Messmethode.Geraet.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.Messmethode.Geraet.extension","Intensivmedizin.Messmethode.Geraet.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Messmethode.Geraet.modifierExtension","Intensivmedizin.Messmethode.Geraet.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.Messmethode.Geraet.Geraetebezeichnung","Intensivmedizin.Messmethode.Geraet.Geraetebezeichnung","","","",0,*,"","","","string {[]} {[]}
","Bezeichnung ggf. Handelsname des medizinischen Gerätes","Bezeichnung ggf. Handelsname des medizinischen Gerätes","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode.Geraet.Geraetebezeichnung",0,*,"",""
"Intensivmedizin.Messmethode.Geraet.Geraeteversion","Intensivmedizin.Messmethode.Geraet.Geraeteversion","","","",0,*,"","","","string {[]} {[]}
","Version des Gerätebezeichners z.B. Firmware-Version","Version des Gerätebezeichners z.B. Firmware-Version","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode.Geraet.Geraeteversion",0,*,"",""
"Intensivmedizin.Messmethode.Geraet.Geraetekonfiguration","Intensivmedizin.Messmethode.Geraet.Geraetekonfiguration","","","",0,*,"","","","string {[]} {[]}
","Version des Gerätebezeichners z.B. Firmware-Version","Version des Gerätebezeichners z.B. Firmware-Version","","","","","","","","","",,,,,"",,,,"Intensivmedizin.Messmethode.Geraet.Geraetekonfiguration",0,*,"",""
"Intensivmedizin.KlinischRelevanteZeit","Intensivmedizin.KlinischRelevanteZeit","","","",0,*,"","","","BackboneElement {[]} {[]}
","relevanter Zeitpunkt und/oder relevanter Zeitraum","relevanter Zeitpunkt und/oder relevanter Zeitraum","","","","","","","","","",,,,,"",,,,"Intensivmedizin.KlinischRelevanteZeit",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.KlinischRelevanteZeit.id","Intensivmedizin.KlinischRelevanteZeit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.KlinischRelevanteZeit.extension","Intensivmedizin.KlinischRelevanteZeit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.KlinischRelevanteZeit.modifierExtension","Intensivmedizin.KlinischRelevanteZeit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.KlinischRelevanteZeit.ZeitraumDerWertermittlung","Intensivmedizin.KlinischRelevanteZeit.ZeitraumDerWertermittlung","","","",0,*,"","","","string {[]} {[]}
","Zeitraum über den ein Wert generiert oder argregiert wurde. Beispiele: periphere Sauerstoffmessung gemittelt über 8 Sekunden, Kristalloide Bilanz über 24h, Ausfuhr Urin über 24h, Liegedauer Eines Endotrachealtubus","Zeitraum über den ein Wert generiert oder argregiert wurde. Beispiele: periphere Sauerstoffmessung gemittelt über 8 Sekunden, Kristalloide Bilanz über 24h, Ausfuhr Urin über 24h, Liegedauer Eines Endotrachealtubus","","","","","","","","","",,,,,"",,,,"Intensivmedizin.KlinischRelevanteZeit.ZeitraumDerWertermittlung",0,*,"",""
"Intensivmedizin.KlinischRelevanteZeit.ZeitpunktDerWertermittlung","Intensivmedizin.KlinischRelevanteZeit.ZeitpunktDerWertermittlung","","","",0,*,"","","","string {[]} {[]}
","Zeitstempel der Messung bzw. Zeitpunkt der klinischen Wertermittlung","Zeitstempel der Messung bzw. Zeitpunkt der klinischen Wertermittlung","","","","","","","","","",,,,,"",,,,"Intensivmedizin.KlinischRelevanteZeit.ZeitpunktDerWertermittlung",0,*,"",""
"Intensivmedizin.ParameterGemessen","Intensivmedizin.ParameterGemessen","","","",0,*,"","","","BackboneElement {[]} {[]}
","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.ParameterGemessen.id","Intensivmedizin.ParameterGemessen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.ParameterGemessen.extension","Intensivmedizin.ParameterGemessen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterGemessen.modifierExtension","Intensivmedizin.ParameterGemessen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterGemessen.ParameterName","Intensivmedizin.ParameterGemessen.ParameterName","","","",0,*,"","","","string {[]} {[]}
","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen.ParameterName",0,*,"",""
"Intensivmedizin.ParameterGemessen.ParameterCode","Intensivmedizin.ParameterGemessen.ParameterCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen.ParameterCode",0,*,"",""
