page	lang	kind	source	gate	line	excerpt
StructureDefinition-mii-pr-icu-vent-atemwegsdruck-bei-null-expiratorischem-gasfluss-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeinullexpiratorischemgasflussobs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-atemwegsdruck-bei-null-expiratorischem-gasfluss-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeinullexpiratorischemgasflussobs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-vent-atemwegsdruck-mittlerem-expiratorischem-gasfluss-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeimittleremexpiratorischemgasflussobs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-atemwegsdruck-mittlerem-expiratorischem-gasfluss-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeimittleremexpiratorischemgasflussobs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-vent-endexpiratorischer-kohlendioxidpartialdruck-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-endexpiratorischerkohlendioxidpartialdruckobservation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-endexpiratorischer-kohlendioxidpartialdruck-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-endexpiratorischerkohlendioxidpartialdruckobservation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-vent-inspiratorische-sauerstofffraktion-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-inspiratorische-sauerstofffraktion-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-inspiratorische-sauerstofffraktion-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-inspiratorische-sauerstofffraktion-observation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-vent-spontanes-atemzugvolumen-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-atemzugvolumenobservation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-spontanes-atemzugvolumen-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-atemzugvolumenobservation.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
StructureDefinition-mii-pr-icu-vent-spontanes-plus-mechanisches-atemzugvolumen-intro	default	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-plus-mechanisches-atemzugvolumen-obs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW English translation produced during migration; the EN 
StructureDefinition-mii-pr-icu-vent-spontanes-plus-mechanisches-atemzugvolumen-intro	de	no-source	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-plus-mechanisches-atemzugvolumen-obs.page.md.md	C	2	**Written during migration - review before release.** TODO:REVIEW Der EN-Guide hatte keine Gegenseite zu dieser Seite; d
capability-statements	default	suggestion	none	B	8	**Written during migration - review before release.** List generated from the build (the source carried no narrative her
capability-statements	de	suggestion	none	B	6	**Written during migration - review before release.** Aus dem Build generierte Liste (Quelle hatte hier kein Narrativ).
examples	default	suggestion	none	B	12	**Written during migration - review before release.** List generated from the build (the source carried no narrative her
examples	de	suggestion	none	B	10	**Written during migration - review before release.** Aus dem Build generierte Liste (Quelle hatte hier kein Narrativ).
profiles	default	bridge	technischeimplementierung-fhir-profile-monitoringundvitaldaten.md	B	47	**Written during migration - review before release.** The Monitoring and Vital Signs profiles of this module are publish
profiles	de	bridge	technischeimplementierung-fhir-profile-monitoringundvitaldaten.md	B	49	**Written during migration - review before release.** Die Profile zu Monitoring und Vitaldaten dieses Moduls sind im ISi
search-parameters	default	suggestion	none	B	12	**Written during migration - review before release.** List generated from the build (the source carried no narrative her
search-parameters	de	suggestion	none	B	12	**Written during migration - review before release.** Aus dem Build generierte Liste (Quelle hatte hier kein Narrativ).
value-sets	default	suggestion	none	B	9	**Written during migration - review before release.** This list was generated from the build during migration (the sourc
value-sets	de	suggestion	none	B	9	**Written during migration - review before release.** Diese Liste wurde bei der Migration aus dem Build generiert (die Q
