# source_page	target	reason	branch	measure
# page-map v2 - agent-refined from page-structure-advice.py output (spec 9e); Gate-B reviews this contract via the migration report.
# branch: 1=artefact intro-note, 2=section on artefact index page, 3=agreed page owns it, 4=own page, 5=RETIRED.
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-ionisierteskalziumausnierenersatzverfahrenobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-gasfluss-observation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-gasfluss
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-dauerhmodialysesitzungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-haemodialysesitzung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-dauer-haemodialysesitzung
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-hmodialyseblutflussobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-haemodialyse-blutfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-haemodialyse-blutfluss
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-substituatflussobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-substituatfluss
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-substituatvolumenobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatvolumen-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-substituatvolumen
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-dauer-extrakorporaler-gasaustausch-observation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-extrakorporaler-gasaustausch-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-dauer-extrakorporaler-gasaustausch
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussextrakorporalergasaustauschobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-extrakorporaler-gasaustausch-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-blutfluss-extrakorporaler-gasaustausch
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussindexextrakorporalergasaustauschobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutflussindex-extrakorporaler-gasaustausch-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-blutflussindex-extrakorporaler-gasaustausch
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-venserdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-venoeser-druck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-venoeser-druck
technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-arteriellerdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-ect-arterieller-druck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-ect-arterieller-druck
technischeimplementierung-fhir-profile-beatmungswerte.md	input/pagecontent/profiles.md	trivial hub node (<50 chars) -> family section on profiles	2	agent-refined
technischeimplementierung-fhir-profile-beatmungswerte-beatmungprocedure.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-eingestellteundgemesseneparameterdevicemetric-duplicate-2.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation.md	RETIRED	page carried ONLY the generated profile rendering (0 chars prose); artifact page is regenerated by the IG Publisher - nothing to migrate	5	anchored by Canonical line; StructureDefinition/mii-pr-icu-parameter-von-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-untersttzungsdruckbeatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-unterstuetzungsdruck-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-unterstuetzungsdruck-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-endexpiratorischerkohlendioxidpartialdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-endexpiratorischer-kohlendioxidpartialdruck-intro.md	artefact page with TYPO/OUTDATED Canonical line on the guide (documented in report queue 3); anchored by title match	1	canonical-on-page=https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-endexpiratorischer/kohlendioxidpartialdruck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeinullexpiratorischemgasflussobs.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-atemwegsdruck-bei-null-expiratorischem-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-null-expiratorischem-gasfluss
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemwegsdruckbeimittleremexpiratorischemgasflussobs.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-atemwegsdruck-mittlerem-expiratorischem-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-atemwegsdruck-mittlerem-expiratorischem-gasfluss
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-druckdifferenzbeatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-druckdifferenz-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-druckdifferenz-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-peep-positiv-endexpiratorischer-druck-observation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-positiv-endexpiratorischer-druck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-positiv-endexpiratorischer-druck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-dynamischekomplianceobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-dynamische-kompliance-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-dynamische-kompliance
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-maximalerbeatmungsdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-maximaler-beatmungsdruck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-maximaler-beatmungsdruck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-mittlererbeatmungsdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-mittlerer-beatmungsdruck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-mittlerer-beatmungsdruck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-exspiratorischersauerstoffpartialdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-exspiratorischer-sauerstoffpartialdruck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-exspiratorischer-sauerstoffpartialdruck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-inspiratorische-sauerstofffraktion-observation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-inspiratorische-sauerstofffraktion-intro.md	artefact page with TYPO/OUTDATED Canonical line on the guide (documented in report queue 3); anchored by title match	1	canonical-on-page=https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorisch-sauerstofffraktion
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-exspiratorischergasflussobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-exspiratorischer-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-exspiratorischer-gasfluss
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-inspiratorischergasflussobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-inspiratorischer-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-eingestellterinspiratorischergasflussobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-eingestellter-inspiratorischer-gasfluss-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-eingestellter-inspiratorischer-gasfluss
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-beatmungszeitaufniedrigemdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-beatmungszeit-niedrigem-druck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-beatmungszeit-niedrigem-druck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-beatmungszeitaufhohemdruckobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-beatmungszeit-hohem-druck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-beatmungszeit-hohem-druck
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-plus-mechanisches-atemzugvolumen-obs.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-spontanes-plus-mechanisches-atemzugvolumen-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-spontanes-plus-mechanisches-atemzugvolumen
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-beatmungsvolumen-pro-minute-machineller-beatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-beatmungsvolumen-min-maschineller-beatmung-intro.md	artefact page with TYPO/OUTDATED Canonical line on the guide (documented in report queue 3); anchored by title match	1	canonical-on-page=https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungsvolumen-pro-minute-maschineller
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontanes-atemzugvolumenobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-spontanes-atemzugvolumen-intro.md	artefact page with TYPO/OUTDATED Canonical line on the guide (documented in report queue 3); anchored by title match	1	canonical-on-page=https://medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-spontanes-atemzugvolumen
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemzugvolumen-waehrend-beatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-atemzugvolumen-waehrend-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-atemzugvolumen-waehrend-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-atemzugvolumen-einstellungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-atemzugvolumen-einstellung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-atemzugvolumen-einstellung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-zeitverhltnis-ein-ausatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-zeitverhaeltnis-ein-ausatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-zeitverhaeltnis-ein-ausatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-einstellung-ausatmungszeit-beatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-einstellung-ausatmungszeit-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-einstellung-ausatmungszeit-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-einstellung-einatmungszeit-beatmungobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-einstellung-einatmungszeit-beatmung-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-einstellung-einatmungszeit-beatmung
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontane-mechanische-atemfrequenz-beatmetobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-spontane-mechanische-atemfrequenz-beatmet-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-spontane-mechanische-atemfrequenz-beatmet
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-spontane-atemfrequenz-beatmetobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-spontane-atemfrequenz-beatmet-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-spontane-atemfrequenz-beatmet
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-mechanische-atemfrequenz-beatmetobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-mechanische-atemfrequenz-beatmet-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-mechanische-atemfrequenz-beatmet
technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation-horowitz-in-arteriellem-blutobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-vent-horowitz-in-arteriellem-blut-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-vent-horowitz-in-arteriellem-blut
technischeimplementierung-fhir-profile-monitoringundvitaldaten.md	input/pagecontent/profiles.md	trivial hub node (<50 chars) -> family section on profiles	2	agent-refined
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-atemfrequenzobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-muv-atemfrequenz-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-muv-atemfrequenz
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-kopfumfangobservation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-muv-kopfumfang-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-muv-kopfumfang
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-idealeskrpergewichtobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-sauerstoffs-ttigung-im-art.-blut-durch-pulsoxymetrie-obs.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksventrikulaeres-schlagvolumenindex-observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksventrikulaeres-schlagvolumen-observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksv.schlagvolumenindexdurchindikatorverd.observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksv.schlagvolumendurchindikatorverdnnungobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-pulmonalvaskulrerwiderstandsindexobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-systemischervaskulrerwiderstandsindexobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksventrikulrerherzindexobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-herzzeitvolumenobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksv.herzindexdurchindikatorverdnnungobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-linksv.herzzeitvolumendurchindikatorverdnnungobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-herzfrequenzobservation.page.md.md	input/pagecontent/profiles.md	page still carries old modul-icu Herzfrequenz canonical; profile moved to ISIK -> MUV cluster section	2	canonical-on-page=https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-herzfrequenz
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-puls-observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-pulmonalarteriellerwedgeblutdruckobservation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-zentralven-ser-blutdruck-observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-intrakranieller-druck-icp-observation.page.md.md	input/pagecontent/profiles.md	renders ISIK-hosted sd-mii-icu-* profile (de.gematik.isik 5.1.0); boilerplate prose -> MUV cluster section on profiles	2	ISIK package artifact; not a module artifact page
technischeimplementierung-fhir-profile-monitoringundvitaldaten-monitoringundvitaldatenobservation-arterieller-blutdruck-observation.page.md.md	input/intro-notes/StructureDefinition-mii-pr-icu-muv-arterieller-blutdruck-intro.md	artefact page prose -> intro-note; generated rendering NOT migrated (publisher re-renders)	1	anchored by Canonical line; StructureDefinition/mii-pr-icu-muv-arterieller-blutdruck
